,Quad,Labels,Angle,OTR8,OTR9,OTR40,OTR41,OTR42,OTR43
158,QM1,DX,-6.82e-05,-0.000134255,2.57e-22,0.001657564,-1.62e-16,0.001640668,-1.77e-16
159,QM1,DX,-6.8e-05,-0.00013386,2.57e-22,0.001652696,-1.62e-16,0.001635849,-1.77e-16
160,QM1,DX,-6.78e-05,-0.000133466,2.57e-22,0.001647828,-1.63e-16,0.001631031,-1.78e-16
161,QM1,DX,-6.76e-05,-0.000133072,2.57e-22,0.00164296,-1.63e-16,0.001626212,-1.78e-16
162,QM1,DX,-6.74e-05,-0.000132677,2.57e-22,0.001638092,-1.63e-16,0.001621394,-1.78e-16
163,QM1,DX,-6.72e-05,-0.000132283,2.57e-22,0.001633224,-1.63e-16,0.001616575,-1.78e-16
164,QM1,DX,-6.7e-05,-0.000131889,2.57e-22,0.001628355,-1.63e-16,0.001611757,-1.78e-16
165,QM1,DX,-6.68e-05,-0.000131495,2.57e-22,0.001623487,-1.63e-16,0.001606939,-1.78e-16
166,QM1,DX,-6.66e-05,-0.0001311,2.57e-22,0.001618619,-1.63e-16,0.00160212,-1.78e-16
167,QM1,DX,-6.64e-05,-0.000130706,2.57e-22,0.001613751,-1.62e-16,0.001597302,-1.77e-16
168,QM1,DX,-6.62e-05,-0.000130312,2.57e-22,0.001608883,-1.63e-16,0.001592483,-1.78e-16
169,QM1,DX,-6.6e-05,-0.000129917,2.57e-22,0.001604015,-1.63e-16,0.001587665,-1.78e-16
170,QM1,DX,-6.58e-05,-0.000129523,2.57e-22,0.001599147,-1.63e-16,0.001582846,-1.78e-16
171,QM1,DX,-6.56e-05,-0.000129129,2.57e-22,0.001594279,-1.63e-16,0.001578028,-1.78e-16
172,QM1,DX,-6.54e-05,-0.000128735,2.57e-22,0.001589411,-1.63e-16,0.001573209,-1.78e-16
173,QM1,DX,-6.52e-05,-0.00012834,2.57e-22,0.001584543,-1.63e-16,0.001568391,-1.78e-16
174,QM1,DX,-6.5e-05,-0.000127946,2.57e-22,0.001579674,-1.63e-16,0.001563572,-1.78e-16
175,QM1,DX,-6.48e-05,-0.000127552,2.57e-22,0.001574806,-1.63e-16,0.001558754,-1.78e-16
176,QM1,DX,-6.46e-05,-0.000127157,2.57e-22,0.001569938,-1.63e-16,0.001553935,-1.78e-16
177,QM1,DX,-6.44e-05,-0.000126763,2.57e-22,0.00156507,-1.63e-16,0.001549117,-1.78e-16
178,QM1,DX,-6.42e-05,-0.000126369,2.57e-22,0.001560202,-1.63e-16,0.001544298,-1.78e-16
179,QM1,DX,-6.4e-05,-0.000125975,2.57e-22,0.001555334,-1.63e-16,0.00153948,-1.78e-16
180,QM1,DX,-6.38e-05,-0.00012558,2.57e-22,0.001550466,-1.63e-16,0.001534661,-1.78e-16
181,QM1,DX,-6.36e-05,-0.000125186,2.57e-22,0.001545598,-1.63e-16,0.001529843,-1.78e-16
182,QM1,DX,-6.34e-05,-0.000124792,2.57e-22,0.00154073,-1.63e-16,0.001525025,-1.78e-16
183,QM1,DX,-6.32e-05,-0.000124397,2.57e-22,0.001535862,-1.63e-16,0.001520206,-1.78e-16
184,QM1,DX,-6.3e-05,-0.000124003,2.57e-22,0.001530994,-1.63e-16,0.001515388,-1.78e-16
185,QM1,DX,-6.28e-05,-0.000123609,2.57e-22,0.001526125,-1.63e-16,0.001510569,-1.78e-16
186,QM1,DX,-6.26e-05,-0.000123215,2.57e-22,0.001521257,-1.63e-16,0.001505751,-1.78e-16
187,QM1,DX,-6.24e-05,-0.00012282,2.57e-22,0.001516389,-1.63e-16,0.001500932,-1.78e-16
188,QM1,DX,-6.22e-05,-0.000122426,2.57e-22,0.001511521,-1.63e-16,0.001496114,-1.79e-16
189,QM1,DX,-6.2e-05,-0.000122032,2.57e-22,0.001506653,-1.63e-16,0.001491295,-1.78e-16
190,QM1,DX,-6.18e-05,-0.000121637,2.57e-22,0.001501785,-1.63e-16,0.001486477,-1.78e-16
191,QM1,DX,-6.16e-05,-0.000121243,2.57e-22,0.001496917,-1.63e-16,0.001481658,-1.78e-16
192,QM1,DX,-6.14e-05,-0.000120849,2.57e-22,0.001492049,-1.63e-16,0.00147684,-1.78e-16
193,QM1,DX,-6.12e-05,-0.000120455,2.57e-22,0.001487181,-1.63e-16,0.001472021,-1.78e-16
194,QM1,DX,-6.1e-05,-0.00012006,2.57e-22,0.001482313,-1.63e-16,0.001467203,-1.78e-16
195,QM1,DX,-6.08e-05,-0.000119666,2.57e-22,0.001477444,-1.63e-16,0.001462384,-1.78e-16
196,QM1,DX,-6.06e-05,-0.000119272,2.57e-22,0.001472576,-1.63e-16,0.001457566,-1.78e-16
197,QM1,DX,-6.04e-05,-0.000118877,2.57e-22,0.001467708,-1.63e-16,0.001452748,-1.78e-16
198,QM1,DX,-6.02e-05,-0.000118483,2.57e-22,0.00146284,-1.63e-16,0.001447929,-1.78e-16
199,QM1,DX,-6e-05,-0.000118089,2.57e-22,0.001457972,-1.63e-16,0.001443111,-1.78e-16
200,QM1,DX,-5.98e-05,-0.000117695,2.57e-22,0.001453104,-1.63e-16,0.001438292,-1.78e-16
201,QM1,DX,-5.96e-05,-0.0001173,2.57e-22,0.001448236,-1.63e-16,0.001433474,-1.78e-16
202,QM1,DX,-5.94e-05,-0.000116906,2.57e-22,0.001443368,-1.63e-16,0.001428655,-1.78e-16
203,QM1,DX,-5.92e-05,-0.000116512,2.57e-22,0.0014385,-1.63e-16,0.001423837,-1.78e-16
204,QM1,DX,-5.9e-05,-0.000116117,2.57e-22,0.001433632,-1.63e-16,0.001419018,-1.78e-16
205,QM1,DX,-5.88e-05,-0.000115723,2.57e-22,0.001428764,-1.63e-16,0.0014142,-1.78e-16
206,QM1,DX,-5.86e-05,-0.000115329,2.57e-22,0.001423895,-1.63e-16,0.001409381,-1.78e-16
207,QM1,DX,-5.84e-05,-0.000114935,2.57e-22,0.001419027,-1.63e-16,0.001404563,-1.78e-16
208,QM1,DX,-5.82e-05,-0.00011454,2.57e-22,0.001414159,-1.64e-16,0.001399744,-1.79e-16
209,QM1,DX,-5.8e-05,-0.000114146,2.57e-22,0.001409291,-1.63e-16,0.001394926,-1.78e-16
